participant_id,trial_number,phase,group,task_type,is_correct,word_count,rt_seconds,audio_duration_s,wps_rt,wps_audio,wps_used,wps_source
sub_b87bf837c6ae,2,pre_incorrect,1,operator,0,164,240.134,239.68,0.6829520184563619,0.6842456608811749,0.6842456608811749,audio
sub_b87bf837c6ae,3,pre_incorrect,1,operator,0,91,240.118,239.62,0.37898033466878783,0.3797679659460813,0.3797679659460813,audio
sub_b87bf837c6ae,4,first_correct,1,operator,1,21,65.743,62.26,0.3194256422737022,0.33729521362030196,0.33729521362030196,audio
sub_b87bf837c6ae,5,post_correct,1,operator,1,5,19.564,16.18,0.25557145777959517,0.30902348578491967,0.30902348578491967,audio
sub_c99e3feff124,1,first_correct,1,operator,1,92,94.716,90.7,0.9713248025676761,1.014332965821389,1.014332965821389,audio
sub_c99e3feff124,2,post_correct,1,operator,1,37,31.757,27.7,1.1650974588279748,1.3357400722021662,1.3357400722021662,audio
sub_c99e3feff124,3,post_correct,1,operator,1,151,120.029,115.96,1.2580293095835173,1.3021731631597102,1.3021731631597102,audio
sub_c99e3feff124,4,post_correct,1,operator,1,154,164.828,161.14,0.9343072778896789,0.9556907037358819,0.9556907037358819,audio
sub_c99e3feff124,5,post_correct,1,operator,1,38,35.304,31.6,1.0763652843870382,1.2025316455696202,1.2025316455696202,audio
sub_cf97da5a22d4,1,unlabeled,1,tautological,0,213,240.112,239.8,0.8870860265209569,0.8882402001668056,0.8882402001668056,audio
sub_cf97da5a22d4,2,unlabeled,1,tautological,0,233,240.121,239.8,0.970344118173754,0.9716430358632193,0.9716430358632193,audio
sub_cf97da5a22d4,3,unlabeled,1,tautological,0,193,240.123,239.8,0.8037547423612066,0.804837364470392,0.804837364470392,audio
sub_cf97da5a22d4,4,unlabeled,1,tautological,0,313,240.13,239.8,1.3034606254945238,1.305254378648874,1.305254378648874,audio
sub_cf97da5a22d4,5,unlabeled,1,tautological,0,248,240.129,239.8,1.0327782150427478,1.0341951626355295,1.0341951626355295,audio
sub_83928208bd4f,1,pre_incorrect,1,hybrid,0,304,240.178,239.8,1.265727918460475,1.2677231025854878,1.2677231025854878,audio
sub_83928208bd4f,2,first_correct,1,hybrid,1,142,101.071,97.84,1.4049529538641155,1.4513491414554374,1.4513491414554374,audio
sub_83928208bd4f,3,post_incorrect,1,hybrid,0,357,240.158,239.8,1.4865213734291591,1.488740617180984,1.488740617180984,audio
sub_83928208bd4f,4,post_correct,1,hybrid,1,130,66.731,63.46,1.948120064138107,2.048534509927513,2.048534509927513,audio
sub_83928208bd4f,5,post_correct,1,hybrid,1,110,58.61,55.36,1.8768128305749872,1.9869942196531791,1.9869942196531791,audio
sub_e3934e9a123e,1,first_correct,1,value-loose-chunk,1,23,20.617,16.84,1.115584226609109,1.3657957244655583,1.3657957244655583,audio
sub_e3934e9a123e,2,post_correct,1,value-loose-chunk,1,25,20.877,17.56,1.1974900608324952,1.4236902050113895,1.4236902050113895,audio
sub_e3934e9a123e,3,post_correct,1,value-loose-chunk,1,23,18.677,15.34,1.2314611554318144,1.4993481095176011,1.4993481095176011,audio
sub_e3934e9a123e,4,post_correct,1,value-loose-chunk,1,23,20.682,17.38,1.11207813557683,1.3233601841196778,1.3233601841196778,audio
sub_e3934e9a123e,5,post_correct,1,value-loose-chunk,1,19,18.118,14.8,1.0486808698531849,1.2837837837837838,1.2837837837837838,audio
sub_530e7d6c33a4,1,unlabeled,1,tautological,0,383,240.14,239.74,1.5949029732655953,1.5975640276966714,1.5975640276966714,audio
sub_530e7d6c33a4,2,unlabeled,1,tautological,0,293,240.127,239.8,1.2201876507015037,1.2218515429524603,1.2218515429524603,audio
sub_530e7d6c33a4,3,unlabeled,1,tautological,0,257,240.142,239.8,1.0702001315888099,1.0717264386989158,1.0717264386989158,audio
sub_530e7d6c33a4,4,unlabeled,1,tautological,0,182,240.125,239.74,0.7579385736595523,0.7591557520647367,0.7591557520647367,audio
sub_530e7d6c33a4,5,unlabeled,1,tautological,0,139,240.145,239.8,0.5788169647504633,0.579649708090075,0.579649708090075,audio
sub_5ddddc986d75,1,first_correct,1,operator,1,152,189.16,186.094,0.8035525481074223,0.8167915139660602,0.8167915139660602,audio
sub_5ddddc986d75,2,post_correct,1,operator,1,39,53.837,50.773,0.724408863792559,0.7681247907352332,0.7681247907352332,audio
sub_5ddddc986d75,3,post_correct,1,operator,1,58,101.069,97.993,0.5738653790974483,0.5918790117661465,0.5918790117661465,audio
sub_5ddddc986d75,4,post_correct,1,operator,1,18,29.213,26.213,0.6161640365590662,0.6866821805974135,0.6866821805974135,audio
sub_5ddddc986d75,5,post_correct,1,operator,1,17,28.609,25.613,0.5942186025376629,0.6637254519189474,0.6637254519189474,audio
sub_67216a602338,1,unlabeled,1,tautological,0,409,240.13,239.8,1.7032440761254322,1.7055879899916597,1.7055879899916597,audio
sub_67216a602338,2,unlabeled,1,tautological,0,455,240.143,239.74,1.894704405291847,1.897889380161842,1.897889380161842,audio
sub_67216a602338,3,unlabeled,1,tautological,0,554,240.128,239.74,2.307102878464819,2.3108367398014513,2.3108367398014513,audio
sub_67216a602338,4,unlabeled,1,tautological,0,392,240.141,239.74,1.6323743134241966,1.6351046967548177,1.6351046967548177,audio
sub_67216a602338,5,unlabeled,1,tautological,0,565,240.137,239.74,2.352823596530314,2.356719779761408,2.356719779761408,audio
sub_94256d574ebd,1,pre_incorrect,1,hybrid,0,233,240.14,239.74,0.9702673440493046,0.9718862100608993,0.9718862100608993,audio
sub_94256d574ebd,2,pre_incorrect,1,hybrid,0,201,241.378,240.16,0.832718806187805,0.8369420386409061,0.8369420386409061,audio
sub_94256d574ebd,3,first_correct,1,hybrid,1,110,204.32,201.04,0.538371182458888,0.5471547950656586,0.5471547950656586,audio
sub_94256d574ebd,4,post_correct,1,hybrid,1,93,70.54,67.24,1.3184009072866458,1.383105294467579,1.383105294467579,audio
sub_94256d574ebd,5,post_correct,1,hybrid,1,59,52.349,49.06,1.1270511375575465,1.2026090501426823,1.2026090501426823,audio
sub_2bb26305655f,1,pre_incorrect,1,hybrid,0,95,240.132,239.68,0.39561574467376276,0.3963618157543391,0.3963618157543391,audio
sub_2bb26305655f,2,first_correct,1,hybrid,1,39,81.901,78.58,0.47618466196993936,0.4963094935097989,0.4963094935097989,audio
sub_2bb26305655f,3,post_incorrect,1,hybrid,0,153,240.123,239.68,0.6371734486075886,0.6383511348464619,0.6383511348464619,audio
sub_2bb26305655f,4,post_incorrect,1,hybrid,0,105,240.115,239.68,0.43729046498552776,0.4380841121495327,0.4380841121495327,audio
sub_2bb26305655f,5,post_correct,1,hybrid,1,39,81.624,78.28,0.4778006468685681,0.4982115482881962,0.4982115482881962,audio
sub_83a65b70f1f4,1,first_correct,1,value-loose-chunk,1,266,108.415,104.32,2.4535350274408523,2.5498466257668713,2.5498466257668713,audio
sub_83a65b70f1f4,2,post_correct,1,value-loose-chunk,1,295,145.76,141.94,2.023874862788145,2.0783429618148515,2.0783429618148515,audio
sub_83a65b70f1f4,3,post_correct,1,value-loose-chunk,1,161,81.096,77.56,1.9853013712143632,2.075812274368231,2.075812274368231,audio
sub_83a65b70f1f4,4,post_correct,1,value-loose-chunk,1,107,48.815,45.28,2.1919491959438697,2.3630742049469964,2.3630742049469964,audio
sub_83a65b70f1f4,5,post_correct,1,value-loose-chunk,1,72,44.282,40.72,1.6259428210107947,1.768172888015717,1.768172888015717,audio
sub_71fc70db9a34,1,first_correct,1,value-tight-chunk,1,34,31.715,28.36,1.0720479268484944,1.1988716502115657,1.1988716502115657,audio
sub_71fc70db9a34,2,post_correct,1,value-tight-chunk,1,51,32.533,29.2,1.567639012694802,1.7465753424657535,1.7465753424657535,audio
sub_71fc70db9a34,3,post_correct,1,value-tight-chunk,1,34,16.942,13.6,2.0068468893873215,2.5,2.5,audio
sub_71fc70db9a34,4,post_correct,1,value-tight-chunk,1,28,18.105,14.8,1.5465341066003866,1.8918918918918919,1.8918918918918919,audio
sub_71fc70db9a34,5,post_correct,1,value-tight-chunk,1,23,16.047,12.76,1.4332897114725494,1.8025078369905956,1.8025078369905956,audio
sub_c952a2e899e0,1,first_correct,1,value-loose-chunk,1,100,87.273,84.04,1.1458297526153565,1.1899095668729176,1.1899095668729176,audio
sub_c952a2e899e0,2,post_correct,1,value-loose-chunk,1,75,57.904,54.64,1.2952473058856038,1.3726207906295753,1.3726207906295753,audio
sub_c952a2e899e0,3,post_correct,1,value-loose-chunk,1,57,60.399,57.22,0.9437242338449312,0.9961551904928347,0.9961551904928347,audio
sub_c952a2e899e0,4,post_correct,1,value-loose-chunk,1,39,45.529,42.34,0.8565968942871576,0.9211147850732168,0.9211147850732168,audio
sub_c952a2e899e0,5,post_correct,1,value-loose-chunk,1,82,83.506,80.08,0.9819653677580054,1.023976023976024,1.023976023976024,audio
sub_34c9b5ce9f21,1,unlabeled,1,hybrid,0,214,240.14,239.68,0.8911468310152412,0.8928571428571428,0.8928571428571428,audio
sub_34c9b5ce9f21,2,unlabeled,1,hybrid,0,274,240.144,239.68,1.1409820774202144,1.1431909212283045,1.1431909212283045,audio
sub_34c9b5ce9f21,3,unlabeled,1,hybrid,0,300,240.163,239.68,1.249151617859537,1.2516688918558077,1.2516688918558077,audio
sub_34c9b5ce9f21,4,unlabeled,1,hybrid,0,325,240.246,239.68,1.3527800670978913,1.3559746328437916,1.3559746328437916,audio
sub_34c9b5ce9f21,5,unlabeled,1,hybrid,0,292,240.146,239.74,1.215926977755199,1.217986151664303,1.217986151664303,audio
sub_9e9e293b106f,1,first_correct,1,value-loose-chunk,1,117,93.617,90.34,1.249773011312048,1.2951073721496569,1.2951073721496569,audio
sub_9e9e293b106f,2,post_correct,1,value-loose-chunk,1,74,49.346,46.12,1.49961496372553,1.6045099739809194,1.6045099739809194,audio
sub_9e9e293b106f,3,post_correct,1,value-loose-chunk,1,39,43.624,40.36,0.8940033009352649,0.9663032705649157,0.9663032705649157,audio
sub_9e9e293b106f,4,post_incorrect,1,value-loose-chunk,0,203,240.12,239.8,0.8454106280193237,0.8465387823185988,0.8465387823185988,audio
sub_9e9e293b106f,5,post_correct,1,value-loose-chunk,1,84,111.129,107.86,0.7558783035931215,0.7787873168922678,0.7787873168922678,audio
sub_46c74caa2b1d,1,unlabeled,1,value-tight-chunk,0,420,240.355,239.74,1.7474152815626887,1.7518978893801618,1.7518978893801618,audio
sub_46c74caa2b1d,2,unlabeled,1,value-tight-chunk,0,588,240.129,239.74,2.4486838324400635,2.4526570451322263,2.4526570451322263,audio
sub_46c74caa2b1d,3,unlabeled,1,value-tight-chunk,0,579,240.137,239.74,2.411123650249649,2.41511637607408,2.41511637607408,audio
sub_46c74caa2b1d,4,unlabeled,1,value-tight-chunk,0,585,240.131,239.74,2.436170257068017,2.440143488779511,2.440143488779511,audio
sub_46c74caa2b1d,5,unlabeled,1,value-tight-chunk,0,535,240.121,239.74,2.2280433614719244,2.231584216234254,2.231584216234254,audio
sub_eb09173c30ac,1,first_correct,2,value-loose-chunk,1,102,56.716,53.32,1.7984343042527682,1.9129782445611403,1.9129782445611403,audio
sub_eb09173c30ac,2,post_incorrect,2,operator,0,456,240.129,239.62,1.898979298626988,1.9030131040814622,1.9030131040814622,audio
sub_eb09173c30ac,3,post_incorrect,2,tautological,0,469,240.125,239.62,1.9531494013534618,1.957265670645188,1.957265670645188,audio
sub_eb09173c30ac,4,post_correct,2,hybrid,1,175,87.412,84.04,2.0020134535304077,2.0823417420276056,2.0823417420276056,audio
sub_eb09173c30ac,5,post_correct,2,value-tight-chunk,1,203,110.961,107.56,1.8294716161534232,1.8873187058386016,1.8873187058386016,audio
sub_0b391805540f,1,pre_incorrect,2,hybrid,0,275,240.119,239.68,1.1452654725365339,1.1473631508678237,1.1473631508678237,audio
sub_0b391805540f,2,first_correct,2,operator,1,125,106.412,103.12,1.174679547419464,1.2121799844840961,1.2121799844840961,audio
sub_0b391805540f,3,post_incorrect,2,tautological,0,312,240.123,239.68,1.2993340912782199,1.3017356475300401,1.3017356475300401,audio
sub_0b391805540f,4,post_correct,2,value-loose-chunk,1,69,56.621,53.32,1.2186291305346073,1.2940735183795948,1.2940735183795948,audio
sub_0b391805540f,5,post_incorrect,2,value-tight-chunk,0,339,240.123,239.68,1.411776464561912,1.4143858477970628,1.4143858477970628,audio
sub_5816418a5209,1,first_correct,2,value-tight-chunk,1,65,47.952,44.56,1.3555221888555222,1.4587073608617593,1.4587073608617593,audio
sub_5816418a5209,2,post_incorrect,2,hybrid,0,489,240.127,239.68,2.0364223931502914,2.0402202937249667,2.0402202937249667,audio
sub_5816418a5209,3,post_incorrect,2,value-loose-chunk,0,422,240.131,239.62,1.7573740999704328,1.7611217761455638,1.7611217761455638,audio
sub_5816418a5209,4,post_incorrect,2,operator,0,393,240.133,239.68,1.636593054682197,1.639686248331108,1.639686248331108,audio
sub_5816418a5209,5,post_incorrect,2,tautological,0,445,240.138,239.68,1.8531011335148955,1.8566421895861147,1.8566421895861147,audio
sub_79d834729395,1,pre_incorrect,2,operator,0,124,240.115,239.68,0.5164192157924328,0.5173564753004005,0.5173564753004005,audio
sub_79d834729395,2,pre_incorrect,2,tautological,0,245,240.125,239.68,1.0203019260801667,1.0221962616822429,1.0221962616822429,audio
sub_79d834729395,3,pre_incorrect,2,value-tight-chunk,0,199,240.11,239.62,0.8287868060472283,0.8304815958601118,0.8304815958601118,audio
sub_79d834729395,4,first_correct,2,value-loose-chunk,1,26,54.334,50.92,0.47852173592962044,0.5106048703849175,0.5106048703849175,audio
