participant_id,group,trial_number,task_type,phase,is_correct,audio_duration_s,speech_total_s,silence_total_s,speech_ratio_audio,lexical_total_s,nonlex_total_s,lexical_ratio_audio,nonlex_ratio_audio
sub_530e7d6c33a4,1,5,tautological,unlabeled,0,239.8,37.072,202.728,0.1545954962468724,36.596,0.476,0.15261050875729773,0.0019849874895746453
sub_5ddddc986d75,1,1,operator,first_correct,1,186.094,44.012,142.08099999999996,0.23650413232022527,44.012,0.0,0.23650413232022527,0.0
sub_5ddddc986d75,1,2,operator,post_correct,1,50.773,16.951999999999998,33.822,0.3338782423729147,16.951999999999998,0.0,0.3338782423729147,0.0
sub_5ddddc986d75,1,3,operator,post_correct,1,97.993,23.727999999999998,74.26599999999999,0.2421397446756401,23.727999999999998,0.0,0.2421397446756401,0.0
sub_5ddddc986d75,1,4,operator,post_correct,1,26.213,8.804,17.409,0.3358638843322016,8.804,0.0,0.3358638843322016,0.0
sub_5ddddc986d75,1,5,operator,post_correct,1,25.613,8.687,16.926,0.3391637059305821,8.687,0.0,0.3391637059305821,0.0
sub_67216a602338,1,1,tautological,unlabeled,0,239.8,103.28999999999998,136.51,0.4307339449541283,103.28999999999998,0.0,0.4307339449541283,0.0
sub_67216a602338,1,2,tautological,unlabeled,0,239.74,113.226,126.514,0.4722866438641862,113.226,0.0,0.4722866438641862,0.0
sub_67216a602338,1,3,tautological,unlabeled,0,239.74,150.04799999999997,89.692,0.6258780345374154,148.904,1.1440000000000001,0.62110619838158,0.004771836155835488
sub_67216a602338,1,4,tautological,unlabeled,0,239.74,112.29200000000002,127.448,0.46839075665304086,111.84800000000001,0.444,0.4665387503128389,0.0018520063402018853
sub_67216a602338,1,5,tautological,unlabeled,0,239.74,133.53200000000004,106.20799999999996,0.5569867356302662,133.53200000000004,0.0,0.5569867356302662,0.0
sub_94256d574ebd,1,1,hybrid,pre_incorrect,0,239.74,65.71200000000002,174.02800000000002,0.2740969383498791,65.14000000000001,0.572,0.27171102027196137,0.0023859180779177438
sub_94256d574ebd,1,2,hybrid,pre_incorrect,0,240.16,75.328,164.832,0.31365756162558295,73.19999999999999,2.128,0.304796802131912,0.008860759493670886
sub_94256d574ebd,1,3,hybrid,first_correct,1,201.04,46.69000000000002,154.35000000000002,0.23224233983286918,46.69000000000002,0.0,0.23224233983286918,0.0
sub_94256d574ebd,1,4,hybrid,post_correct,1,67.24,30.717999999999993,36.522000000000006,0.45684116597263524,30.717999999999993,0.0,0.45684116597263524,0.0
sub_94256d574ebd,1,5,hybrid,post_correct,1,49.06,19.273999999999997,29.786,0.39286587851610266,19.273999999999997,0.0,0.39286587851610266,0.0
sub_2bb26305655f,1,1,hybrid,pre_incorrect,0,239.68,29.871999999999996,209.808,0.12463284379172228,29.871999999999996,0.0,0.12463284379172228,0.0
sub_2bb26305655f,1,2,hybrid,first_correct,1,78.58,15.615999999999998,62.96399999999999,0.19872741155510307,15.615999999999998,0.0,0.19872741155510307,0.0
sub_2bb26305655f,1,3,hybrid,post_incorrect,0,239.68,58.144000000000005,181.53600000000003,0.24259012016021364,56.68000000000001,1.464,0.2364819759679573,0.006108144192256341
sub_2bb26305655f,1,4,hybrid,post_incorrect,0,239.68,34.252,205.42799999999997,0.14290720961281708,34.252,0.0,0.14290720961281708,0.0
sub_2bb26305655f,1,5,hybrid,post_correct,1,78.28,12.996,65.284,0.16601941747572815,12.996,0.0,0.16601941747572815,0.0
sub_83a65b70f1f4,1,1,value-loose-chunk,first_correct,1,104.32,83.20800000000001,21.112000000000005,0.7976226993865032,83.20800000000001,0.0,0.7976226993865032,0.0
sub_83a65b70f1f4,1,2,value-loose-chunk,post_correct,1,141.94,94.694,47.244000000000014,0.6671410455121882,94.694,0.0,0.6671410455121882,0.0
sub_83a65b70f1f4,1,3,value-loose-chunk,post_correct,1,77.56,54.36,23.199999999999996,0.7008767405879319,54.36,0.0,0.7008767405879319,0.0
